507,6,2,23,16,12,28,20,5,1,11,8,11,32,20,3,32,5,0,6,19,6,6,3,5,13
11,576,1,23,12,2,21,25,52,8,4,6,2,2,8,2,2,1,5,6,7,1,1,5,8,9
8,2,609,2,48,2,11,0,2,2,7,19,0,7,22,4,4,14,0,13,12,6,1,2,0,3
22,62,4,424,2,1,13,26,35,18,8,17,2,5,67,7,9,0,3,0,18,36,6,2,3,10
27,12,52,1,563,6,3,2,1,0,26,8,2,10,9,3,4,22,2,38,2,2,0,3,1,1
10,4,2,0,10,566,5,1,20,9,9,3,3,4,0,41,11,22,2,56,0,6,0,4,10,2
46,27,23,4,9,12,375,2,18,35,4,6,3,7,4,5,109,4,41,29,10,3,2,2,17,3
23,5,3,8,1,3,1,491,48,5,41,22,14,63,0,0,0,3,1,8,9,19,12,8,7,5
2,2,0,1,1,2,4,4,398,30,2,215,0,0,0,0,12,3,9,30,2,7,0,53,6,17
3,12,0,68,1,3,31,2,43,514,0,16,0,1,2,1,11,2,28,19,8,8,0,0,8,19
14,9,12,2,11,6,0,48,19,0,492,26,11,9,0,0,2,35,0,24,9,27,6,26,3,9
0,7,14,3,0,1,0,1,231,4,4,385,0,4,0,3,1,0,1,35,29,20,1,19,23,14
12,1,0,2,2,0,1,6,0,0,1,0,712,37,0,4,3,1,0,1,7,4,3,1,1,1
60,5,0,11,1,7,3,36,1,1,34,0,37,486,3,4,9,2,0,2,12,41,37,4,3,1
17,3,10,22,0,1,14,1,3,0,0,1,2,10,684,4,10,5,0,2,4,2,0,3,0,2
4,0,0,2,5,17,6,2,20,0,3,0,2,5,3,623,5,29,0,52,0,0,0,4,18,0
53,4,9,7,11,24,79,1,36,6,8,3,1,4,7,11,440,1,9,54,11,0,2,2,12,5
50,4,20,1,17,29,0,9,11,0,40,7,9,16,4,13,13,454,0,63,0,14,0,12,10,4
19,12,0,1,3,2,26,0,4,37,3,9,1,5,7,1,14,8,628,4,1,2,1,5,1,6
3,10,2,2,18,55,4,30,26,14,12,9,1,9,2,12,19,39,4,452,0,12,0,4,57,4
38,5,2,23,3,2,1,15,0,0,10,7,0,4,13,0,1,5,2,0,579,57,28,0,3,2
0,3,0,5,0,4,0,6,4,0,18,6,1,19,0,6,1,23,1,6,45,607,16,9,19,1
6,6,1,7,0,2,0,6,0,1,4,1,7,28,0,1,5,5,0,2,29,22,666,1,0,0
18,3,0,2,2,5,5,11,57,2,41,10,1,5,0,2,1,9,3,7,1,51,0,538,16,10
2,3,0,2,0,1,5,9,65,22,10,9,7,7,0,4,3,4,4,59,5,58,0,20,497,4
4,19,4,15,12,5,5,4,37,20,6,26,3,28,0,2,7,2,1,9,4,2,0,15,2,568
