756,0,2,8,0,1,5,3,0,0,0,0,3,0,4,1,12,1,0,0,1,0,2,0,0,1
0,775,0,1,2,0,5,8,0,0,0,0,0,1,0,0,0,2,2,0,1,0,1,0,0,2
0,0,763,0,27,0,1,1,0,0,0,0,0,0,1,0,0,3,0,2,2,0,0,0,0,0
1,0,0,764,0,0,1,0,1,3,0,0,0,1,24,1,1,0,0,0,1,0,2,0,0,0
0,0,1,0,785,3,4,0,0,1,0,1,0,0,0,1,0,1,1,2,0,0,0,0,0,0
0,0,0,0,2,775,3,0,0,0,0,0,0,0,0,2,0,2,1,15,0,0,0,0,0,0
8,3,1,2,1,2,731,1,0,2,0,0,0,1,0,1,39,0,2,0,0,0,1,0,5,0
2,3,0,1,0,0,0,776,0,0,5,2,3,4,0,0,0,1,0,1,0,0,2,0,0,0
0,1,2,0,1,1,1,2,654,8,0,122,0,0,5,0,0,1,0,0,0,1,0,0,0,1
0,0,0,9,0,4,1,0,32,738,0,1,0,0,0,0,0,0,5,6,2,1,0,0,1,0
0,2,0,1,4,2,0,5,0,0,771,1,0,0,0,0,0,4,0,4,2,0,1,3,0,0
0,1,7,0,1,0,2,10,230,2,0,538,0,0,1,1,3,1,0,1,1,0,0,0,1,0
0,0,0,0,0,0,0,2,0,0,0,0,794,1,0,0,0,0,0,0,2,0,1,0,0,0
6,0,1,1,0,0,0,36,0,1,0,0,22,702,0,1,0,3,0,0,3,0,23,0,0,1
4,1,2,8,0,0,2,0,0,0,0,0,0,0,778,0,3,0,0,0,2,0,0,0,0,0
1,4,0,5,1,2,0,0,0,0,0,0,0,0,0,779,4,1,0,0,0,0,1,0,2,0
20,0,0,1,2,1,281,0,0,0,0,1,0,0,1,3,488,0,0,0,1,0,0,0,1,0
5,0,1,0,2,2,0,3,1,0,2,0,0,2,0,1,0,759,2,6,0,7,0,0,6,1
2,1,0,0,0,1,7,1,0,4,0,0,0,1,0,0,1,0,782,0,0,0,0,0,0,0
1,2,0,0,3,5,0,0,4,0,0,0,1,0,1,0,0,1,0,774,0,0,0,3,4,1
2,0,2,0,0,0,0,1,0,5,0,1,0,1,1,0,1,0,1,0,751,20,8,0,6,0
0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,6,1,0,30,741,4,0,11,1
0,0,1,0,0,0,0,2,0,0,0,0,3,2,0,0,1,0,0,0,1,0,790,0,0,0
0,0,0,1,0,3,1,0,0,0,6,0,1,1,0,0,1,0,0,18,0,1,0,756,11,0
0,0,0,1,0,0,3,1,0,2,1,0,0,0,0,0,1,4,0,4,0,6,1,4,772,0
0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,795
