epoch,accuracy,learning_rate,loss,sparse_top_k_categorical_accuracy,val_accuracy,val_loss,val_sparse_top_k_categorical_accuracy
0,0.339819073677063,0.0010000000474974513,2.264827013015747,0.6953415274620056,0.6914066672325134,0.942280650138855,0.9630588889122009
1,0.7451669573783875,0.0010000000474974513,0.7999148964881897,0.9693689942359924,0.8611330389976501,0.39403489232063293,0.9909899830818176
2,0.8159636855125427,0.0010000000474974513,0.5769799947738647,0.9817565083503723,0.9065210223197937,0.2708108425140381,0.9945939779281616
3,0.8447928428649902,0.0010000000474974513,0.4936158061027527,0.9852100014686584,0.8952584862709045,0.3039560317993164,0.9943687319755554
4,0.8617099523544312,0.0010000000474974513,0.4406302571296692,0.9875874519348145,0.9184592962265015,0.20840150117874146,0.9957202672958374
5,0.8722956776618958,0.0010000000474974513,0.41303572058677673,0.9880754351615906,0.9237526655197144,0.2294030636548996,0.9945939779281616
6,0.8773382902145386,0.0010000000474974513,0.3891541361808777,0.989539384841919,0.9131658673286438,0.25762939453125,0.9929046034812927
7,0.883144199848175,0.0010000000474974513,0.3763900697231293,0.9893642067909241,0.9300596714019775,0.19832347333431244,0.9962833523750305
8,0.8882493376731873,0.0010000000474974513,0.3611040413379669,0.9899272918701172,0.9296091794967651,0.19319374859333038,0.9959455132484436
9,0.8914400935173035,0.0010000000474974513,0.34841009974479675,0.9910159111022949,0.9353531002998352,0.1962059885263443,0.9961707592010498
