model,accuracy,top5_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,rmse_label,auc_macro_ovr,auc_weighted_ovr,fit_seconds
pytorch_cnn,0.937885,0.996635,0.939787,0.937885,0.937361,0.939787,0.937885,0.937361,1.979729,0.998301,0.998301,0.0
sgd_logistic_regression,0.6650961538461538,0.808125,0.6743444801839108,0.6650961538461538,0.6674488496430864,0.6743444801839108,0.6650961538461538,0.6674488496430865,5.809723282169696,0.8799645492788463,0.8799645492788462,12.212416999998823
